,0,1,2,3,4,5
0,-5.181365966796875,-4.477169513702393,-4.583812713623047,-5.472370624542236,-3.347959041595459,-3.8066375255584717
1,-4.597993850708008,-5.047735214233398,-4.073818206787109,-3.4247677326202393,-3.466356039047241,-4.442955493927002
2,-5.1792473793029785,-4.853348255157471,-4.279533863067627,-5.1792473793029785,-4.736526966094971,-4.279533863067627
3,-4.722450256347656,-4.312885284423828,-3.3539886474609375,-4.972206115722656,-6.034793853759766,-3.859232187271118
4,-3.3129189014434814,-4.442793846130371,-4.297302722930908,-4.06439733505249,-5.538266658782959,-4.967230319976807
5,-3.316080093383789,-3.699789524078369,-3.319021701812744,-3.686100721359253,-2.921416759490967,-3.383376359939575
6,-4.715527534484863,-5.112814903259277,-4.198629379272461,-4.725341320037842,-4.39406156539917,-3.8740720748901367
7,-7.66021728515625,-4.834765434265137,-5.435854911804199,-6.273950099945068,-5.044698715209961,-6.15852165222168
8,-3.0362539291381836,-4.128358840942383,-2.3516650199890137,-2.4856953620910645,-1.4571176767349243,-3.98478627204895
9,-0.9661858677864075,-2.492307662963867,-2.4393603801727295,-1.9176698923110962,-2.886552333831787,-2.5455315113067627
10,-4.742168426513672,-4.481542110443115,-3.7659218311309814,-4.328390598297119,-3.5939342975616455,-2.7208480834960938
11,-0.5438151955604553,-2.5530946254730225,-2.143223762512207,-0.9316856861114502,-0.845608115196228,-1.3908343315124512
12,-3.460775375366211,-4.715869426727295,-4.49422025680542,-4.81018590927124,-4.128829479217529,-5.546056747436523
13,-2.963740587234497,-4.728400707244873,-3.2155165672302246,-2.4615440368652344,-3.698221206665039,-4.095074653625488
14,-3.1690938472747803,-4.950693607330322,-3.6728923320770264,-3.538484573364258,-3.5315747261047363,-3.172841787338257
15,-3.5698606967926025,-4.452259063720703,-4.978431701660156,-4.5800018310546875,-4.470146179199219,-5.097634315490723
16,-4.026479244232178,-5.794668197631836,-3.660054922103882,-5.481441020965576,-4.642678737640381,-4.164865493774414
17,-0.8392831683158875,-2.5759599208831787,-2.329660177230835,-4.01895809173584,-2.5762722492218018,-2.0111918449401855
18,-4.79840612411499,-5.32318115234375,-6.383312702178955,-4.078860282897949,-4.708492755889893,-4.770800590515137
