,0,1,2,3,4,5,6
0,-3.938398838043213,-4.213829755783081,-3.982649898529053,-2.8525787830352782,-3.2980528354644774,-4.091461992263794,-3.346814584732056
1,-4.528650760650635,-3.2054967880249023,-3.6741363525390627,-2.8102598190307617,-2.9030333518981934,-3.3479660034179686,-3.3230106830596924
2,-3.7723867893218994,-3.3881712913513184,-4.034392642974853,-3.1051403522491454,-3.5457143783569336,-4.034835338592529,-3.1465991973876952
3,-2.99436092376709,-2.3806888580322267,-2.2824485063552857,-2.2827444553375242,-2.6719712257385253,-3.3091630935668945,-2.8088704109191895
4,-3.018491268157959,-3.403686046600342,-2.830094051361084,-2.511207914352417,-2.4630939960479736,-3.3375276565551757,-3.066696310043335
5,-3.8018407821655273,-2.267760705947876,-2.70174241065979,-2.8882891178131103,-2.5876566886901857,-2.624997091293335,-2.637778377532959
6,-4.632469177246094,-3.0022633552551268,-3.1686312198638915,-2.6882771968841555,-3.462801122665405,-4.699142646789551,-2.5827628135681153
7,-4.505437850952148,-3.1554227828979493,-2.8928364276885987,-2.8158536911010743,-3.2445738315582275,-3.6179227352142336,-2.682008075714111
8,-2.5301778316497803,-2.5215767860412597,-2.490038585662842,-2.097502040863037,-2.664471960067749,-2.536653518676758,-2.498799467086792
9,-2.390167713165283,-2.407361125946045,-3.3301558971405028,-2.3037464141845705,-2.2353000164031984,-2.849419927597046,-2.397689771652222
10,-3.5578081607818604,-2.584239649772644,-3.2676178455352782,-2.1087612390518187,-2.458854079246521,-2.764790439605713,-2.5695390462875367
11,-2.2005839347839355,-2.226495051383972,-3.0219439029693604,-2.058300256729126,-2.0713342905044554,-2.446645402908325,-2.0752187013626098
12,-3.6657822132110596,-3.0809507846832274,-3.4796761512756347,-3.135534572601318,-3.213737726211548,-3.290079927444458,-4.965427112579346
13,-3.286623477935791,-2.3214899063110352,-3.7094436645507813,-2.1556902647018434,-3.4231658935546876,-3.5457969188690184,-3.193395471572876
14,-2.9143528938293457,-2.59847731590271,-2.8345383167266847,-2.6014246940612793,-2.0321749687194823,-2.9900345325469972,-2.0830283641815184
15,-2.943516492843628,-2.8470632076263427,-3.779219913482666,-2.8393850803375242,-2.712484073638916,-2.6613471508026123,-3.0767878532409667
16,-3.763167381286621,-3.220306730270386,-4.091975688934326,-2.1784694671630858,-3.7119085788726807,-3.256391906738281,-2.2282227516174316
17,-2.99578595161438,-2.301395869255066,-2.79606614112854,-2.500234603881836,-2.9174139499664307,-3.5711206436157226,-2.9556161880493166
18,-4.170469760894775,-2.2330983161926268,-2.885560417175293,-2.3645792484283445,-2.64534330368042,-4.463991928100586,-3.0317885875701904
19,-3.940772533416748,-2.6204012393951417,-2.839836597442627,-2.5606455326080324,-2.808388352394104,-3.661251401901245,-2.8892830848693847
20,-2.7941763401031494,-2.6528905391693116,-2.889575719833374,-2.7226084232330323,-2.124919867515564,-2.694077157974243,-2.758347988128662
21,-2.1943652629852295,-3.2648365020751955,-2.95832200050354,-3.1640878200531004,-3.2099231719970702,-3.777716779708862,-2.6955004692077638
22,-3.3316709995269775,-2.5361098766326906,-2.4240601539611815,-2.1697621822357176,-3.0662808418273926,-3.1449695110321043,-2.560843801498413
23,-2.5749125480651855,-2.784894275665283,-3.509976053237915,-1.5994341611862182,-3.6330992698669435,-3.487746572494507,-4.632361555099488
24,-4.868934631347656,-3.2664402961730956,-4.624293518066406,-3.790733575820923,-2.4841552495956423,-4.289025688171387,-4.037987995147705
25,-3.258977174758911,-2.9317134857177733,-3.4139828205108644,-2.5201998233795164,-3.350271224975586,-3.803521728515625,-3.1038374423980715
26,-3.9226958751678467,-4.298963356018066,-2.5808172702789305,-2.5357893466949464,-2.747559404373169,-3.807108736038208,-2.4036941051483156
27,-5.263085842132568,-1.8537548065185547,-2.4984537601470946,-3.6753986358642576,-2.435313415527344,-4.180098390579223,-3.317153739929199
28,-4.772950649261475,-3.4679017543792723,-3.4227365016937257,-3.2296102046966553,-3.746966028213501,-3.187823009490967,-3.2085329055786134
29,-3.8802006244659424,-3.3942723274230957,-3.447131061553955,-3.631735897064209,-3.1567004203796385,-3.7203633308410646,-3.457392454147339
30,-2.8127055168151855,-2.6301930427551268,-2.86151180267334,-2.2721879482269287,-2.750566864013672,-3.255654287338257,-2.758600378036499
31,-4.024448871612549,-2.4688366889953612,-2.6546599864959717,-2.4398155212402344,-2.5248414993286135,-3.5004655838012697,-2.678130531311035
32,-3.1385185718536377,-2.439592409133911,-2.4408708810806274,-2.468395495414734,-1.7995841741561889,-2.379503059387207,-2.389240598678589
33,-4.398731708526611,-3.05824990272522,-2.768008661270142,-2.9200604438781737,-3.0699446201324463,-3.088505172729492,-3.412470579147339
34,-4.100573539733887,-3.077292633056641,-3.5297787189483643,-2.4453036308288576,-3.1206357955932615,-5.1552042961120605,-3.313900947570801
35,-2.5392301082611084,-2.0815487623214723,-2.2743778228759766,-1.9845385789871215,-2.0037124395370483,-2.637623167037964,-1.9163349151611329
36,-2.6186060905456543,-2.3499205827713014,-2.780047130584717,-2.6243375301361085,-3.25941686630249,-3.7486496925354005,-3.048760271072388
37,-3.4124362468719482,-3.165868330001831,-2.8976179122924806,-3.9289342880249025,-2.3236642360687254,-3.952575159072876,-2.0294352531433106
38,-4.029165744781494,-2.275931978225708,-2.490894842147827,-2.524009037017822,-3.6537538051605223,-4.670608139038086,-2.5638161182403563
